Author,Thread_Title,Content,Thread_URL,,,,,,,,,,,
Ilovetaco,ENFJ and autism,"I just recently got an autism diagnosis and I feel like its very abnormal to be an ENFJ with autism due to the stereotypes. I should also say, I am a girl and my special interests are humans and animals. So that might clarify any possible confusion?? Is there anyone else here who identify as an ENFJ thats on the spectrum?",https://www.personalitycafe.com//threads/enfj-and-autism.1361801/,,,,,,,,,,,
ForestPaix,Surprise I am an ENFJ!,"After finally figuring out what was wrong with me and getting to a stable point in my life, I am no longer ISFP or INFP....I am an ENFJ!
Turns out I was an extrovert all along! 

I got diagnosed with ADHD last year and officially diagnosed with PTSD and they also thought I might be mildly autistic. It feels really good to embrace who I really am.

Have anyone else experience a diagnosis that they discovered changed their type?",https://www.personalitycafe.com//threads/surprise-i-am-an-enfj.1367507/,,,,,,,,,,,
Respect,ENFJ vs ENTJ vs ESFJ vs ESTJ - Differences vs Similarities Group Interview,"Hello ENFJs! In this interview, I got a chance to talk to all the ExxJ types about their shared experiences and what makes them different from one another. During the interview, we talked about ExxJs having trouble making a decision for themselves and needing permission from the tribe before making decisions. We also talked about Te shaming Ti and Fe shaming Fi. Savannah asked an awesome question to the ESFJ and ENFJs on how Te's can be more sensitive to Ti's and not offend them. We also discussed what their Ti or Fi swing looks like when they go on a ""selfishness"" swing. We also discussed racist jokes and how they perceived it as an ExxJ. We also talked about blood and family ties and how the ESFJ and ENFJ perceived it differently from the ENTJ and ESTJ. Double observing was something we tried discussing but the topic was too boring for the ExxJs to continue talking about because it's so easy for them. In the end, the ExxJs had a message to say to fellow ExxJs on how to better themselves as individuals. Some things I noticed about each participant include Julia (ESFJ and our only info-dominant ExxJ) did an amazing job maintaining the flow of the conversation being balanced with her Si+Fe and Ne+Ti. Maggie (our jumper ESFJ) was relatively quiet and focused on gathering the tribe's perspective. Rob (our jumper ENFJ with double activated Ti and token male ExxJ) was acting very ExxP like with committing to decisions. Savannah (our jumper ENTJ) asked some very good questions to the lead Fe's. Nina (our jumper ESTJ and only lead NT) was doing a makeshift double decider which shows how present that masculine Fi is at the bottom when double activated. Natalie (our ENFJ and only MF) produced many hilarious moments including before the interview with her blast to Nina just seconds after learning something from Julia. And finally, Heather shows the big difference between an ESTJ and ENTJ when it comes to dealing with presenting themselves to the tribe. I also thought it was interesting that Julia being info-dominant was not as scared of how the tribe perceived her as the energy dominants were. Julia said she can clarify with the tribe which shows the easy flow of information while Natalie said she never thought of asking the tribe and just assumed everyone hated her. Watch this interview here:",https://www.personalitycafe.com//threads/enfj-vs-entj-vs-esfj-vs-estj-differences-vs-similarities-group-interview.1367349/,,,,,,,,,,,
DaysofTravel,Where to find ENFJ males?,"The title says it all. INFP female here. Just tired of ""dating"" at this point in my life and meeting men with whom I have nothing in common, or who have 2 or 3 traits I am looking for, but then the rest is missing. 

I really want to reverse my search now and increase my chances of meeting someone I might actually be compatible with in the first place and then take it from there.

Just for the record I am not in my twenties anymore so places like university, bar, party would not work for me. 

Any advice?",https://www.personalitycafe.com//threads/where-to-find-enfj-males.1299561/,,,,,,,,,,,
gstephanie,(Need Advice) ENFJ Guy & ENFP Girl,"Hi I'm an ENFP girl and I just met this ENFJ guy through online app.
He's currently on vacation in my city and expected to go back this weekend.

We had 2 dates so far.
First one lasted for full 2 hours chat over a coffee. We really connect in most of our hobbies and preferences, he even said ""I feel like I've known you for a long time"".
Then when we're about to say goodbye he suddenly leaned and kissed me - 3 quick kisses.

The day after we decided to go to the museum, we spent 6 hours together, this time with lots of physical touch (he initiated them), lots of kisses on lips and sometimes he just kisses my forehead few times.
We already talked so much about heavy things: socio-political issues, traveling stories, future goals, religion things. Though we have major differences we could understand each other.
Then we talked if this relationship could go to a more serious way, he said he never did long distance relationship before but he'd like have a movie date (netflix party haha) or video call when he's back home, and see where it goes from there.
He said ""not sure where this goes but at least we can be friends and I'm happy to have met you"".

I once boldly ask if i was just his fling, and he's kinda shocked and said ""I'd never see you as a fling"".

From all his physical touch I would think that he's into it, because of the forehead kisses. But reading that sentence above makes me think he is kinda pessimistic and already made up his mind to be friends.

Could anybody share what do you think on this?

(Oh he's also the kind of people who will put away his phone while he's doing something. So post date 2 he had some schedules with his friends, I had to ask how was his day, and he'll respond slowly - I feel bad like I'm too attached)",https://www.personalitycafe.com//threads/need-advice-enfj-guy-enfp-girl.1361804/,,,,,,,,,,,
Mmmbti,Introvert intuition,"Well, if I am an ENFJ(won't go into detail about why I think I am one, but I have strong Fe), I have strong Ni, because I stay a lot in my mind, thinking about past situations and the future alike. However, I don't think like I have hunches or that I can predict future situations. Can an enfj not have hunches or the ability to predict future? What's your experience?",https://www.personalitycafe.com//threads/introvert-intuition.1366868/,,,,,,,,,,,
Kasani,Typical response to long-term isolation,"Hi there,
Quick question to any ENFJs out there that have more knowledge about the subject that I do. How do you think you would respond to an extended period of isolation? Hypothetically lets say 3 years of isolation resulting from almost everyone, including your family, shunning you, for reasons out of your control and not your fault. There would still be people around you, but they'd all be holding you at arm's distance, interacting with you as little as they could possibly manage or just plain ignoring your existence. 

I really hope no one can answer that from personal experience because that would be awful to go through. >_> General speculation is fine. The situation arises in a book I'm writing with an ENFJ MC who has this experience in her mid to late teens. I'm having trouble imagining how that might effect her personality and relationships later in life. 

Thanks!",https://www.personalitycafe.com//threads/typical-response-to-long-term-isolation.937162/,,,,,,,,,,,
infj_girl88,Enfj in love versus infatuation,I am not sure if people still respond to posts here. I was wondering if any enfj can help me distinguish between an enfj in love and an enfj in like. I cannot tell..,https://www.personalitycafe.com//threads/enfj-in-love-versus-infatuation.1364186/,,,,,,,,,,,
BensUsername,Do ENFJ's tend to have an extremely random sense of humor?,"My closest friend has been typed as an ENFJ, and he's literally the most random human being I've ever encountered in my entire life, his sense of humor is wacky and bizarre. It usually involves strange mental imagery involving people that him and I both know, 'Imagine X(person) doing Y(strange thing)'. 

It comes pretty natural to him to, he's told me that he's almost constantly imagining things about people, he's said to me 'I'll be reading a book or something and then like 3 seconds later my mind will drift off and I'll imagine someone dancing or something'. :tongue:

He's also the type who will abruptly start making random noises and talking in almost 'cartoonish' voices.

Is this typical ENFJ humor? Because without knowing any better I'd say this is 'Ne humor', but I don't really know how Fe+Ni is, and from what I've read from ENFJ's he fits their general behavior to a T. 

Are all ENFJs this delightfully silly?",https://www.personalitycafe.com//threads/do-enfjs-tend-to-have-an-extremely-random-sense-of-humor.123382/,,,,,,,,,,,
ananya100mehta,Need help for enfj,"I am an enfj... 
If u have ever read the care manual of enfj 
It says about pseudo introvert mode... 
I want to know how to come out of that mode especially when u have no friends 
Someone pls help me because I am in that mode.. Since last 3 months 
Thank u",https://www.personalitycafe.com//threads/need-help-for-enfj.1366415/,,,,,,,,,,,
Mmmbti,Can I be an ENFJ?,"I'm torn between infp and enfj(before you ask, I'm an ambivert). The questions is if I can be enfj if it never occurred to me to change someone. Might be an enneatype thing too(not 2), but I only tried to change people after getting angry with them and cutting ties, telling them all that is wrong with them.",https://www.personalitycafe.com//threads/can-i-be-an-enfj.1366347/,,,,,,,,,,,
Respect,ENFJ Female Natalie Fe-Ni BP/S(C) MF Interviewed by ENFP Male,"Hello ENFJs! In this interview, I got a chance to talk to Natalie about what it's like to be an ENFJ Fe-Ni BP/S(C) MF. First, Natalie talked about her feminine Fe and double feminine NF blast. She described how it's different from an ESFJs blast. We also talked about the ENFJs fear of getting kicked out from the tribe if they don't help people. She said that they feel like if they get kicked out, they wouldn't know what to do with themselves to make them happy because of the Ti at the bottom. I also asked her what she thought her identity is with the NT sleep and she said that as an ENFJ, she gets her identity from being the wise guru who can solve all problems and have all answers. We also talked about SF play and how it can be both really stupid but also really useful. Natalie said that she is envious of ST play because they can explain work much better than SF play who just wants to party and play all day. During the interview, Natalie demonstrated her masculine Se as she chucked one of her cushions at her cat. Natalie also talked about how with her Se, she's always looking for the best. Best food, best clothes, best whatever. Natalie also talked about her masculine Ti and how she perceives herself as a threat, especially if she drops her M-Ti bomb on someone. I also asked Natalie why it's uncomfortable to ask people for directions or help. She told me that it's really irrational because she knows if someone asks her for help, she'd love to help that person and won't feel judgemental about it. Natalie said that as a decider, she feels like you should be more prepared with the double observing that you never need to ask for help from someone; otherwise, you come across as stupid. Watch this interview here:",https://www.personalitycafe.com//threads/enfj-female-natalie-fe-ni-bp-s-c-mf-interviewed-by-enfp-male.1366331/,,,,,,,,,,,
LuxEterna,Male ENFJs are commitment phobic,"I have dated an ENFJ male for 4 mths. He's really sweet, but he seems to be absent minded at times, like he has been possessed by his job. He is always ""busy/stressed"" and has no time for me (i only need to see him once a week. that's not a lot, right?)

Then he told me, ""I have no time for you. I am very busy. I can only see you once in 2 weeks.""

So I said in firm gentle and compassionate way, ""Ok, let's take a braek from each other. BTW, i do know of your going out with other girls from the dating website.""

Then for some reason, he opened up to me about his struggles with work and struggles to quit his addiction to going out with girls etc. It was such intimate sharing that I feel like we are even emotionally closer than before. His body language was very relaxed, affectionate and he held my hand very tightly and I felt very cherished. 

The next day, he told me, ""I'm sorry that I hurt you.""

The next time we met, we were supposed to be ""friends"" now and I felt like we are still having strong feelings for each other. Our behavior subtly shows that. He puts a hand protectively on my shoulder or on my knee despite that we were with my friends. He is very accomodating and gentlemanly. 

I'm wondering if he is commitment phobic and actually manipulated me to ""breakup"" or ""take a break"" from him.

i read that ENFJ's push people away even though they care for these people. Is this what he is doing? I dont understand his behavior. I feel he's sending me mixed signals.",https://www.personalitycafe.com//threads/male-enfjs-are-commitment-phobic.55593/,,,,,,,,,,,
jsummers12981,How do I stop my ENFJ self from feeling so down when my life is in a good place?,"Hello fellow ENFJs 

I've been single since November and although I would never go back with my ESTP ex and I am in a very good place, I can't help but feel a massive gaping hole in my heart. 
I have my life well together for a 25 year old, I have a stable career, a few networks of friends, a loving albeit small family, a lovely flat in a nice area, tons of hobbies and things that could keep my busy - however without a relationship I feel like my life is stagnating. Nothing makes me happier than creating a deep bond with a SO, and building a normal happy life with someone - I finally thought I found that in my last relationship (although in hindsight I realised I gave way more than I received and would never go back to that...and the cheating). 

My friends tell me well ""some of my best years have been when I was single"" and although that may be true for them I just can't help but get in this weird depressive state where I feel like I can't be bothered to get out of bed or tidy up on some days unless I have an obligation to someone, however when I'm in a relationship I put in 110% in each day, I just want to give so badly, I just feel so empty when I'm not, things become somewhat meaningless to me. 

Currently I have a ISTJ that is keen on me and met me for a few dates via a friend, I decided we're best as friends now because there is obviously some cognitive differences (he comes across as robotic and rigid - however I very much admire his dutifulness and loyalty) and he has 0 interests outside of work so there's very little to talk about and I feel drained sometimes, conversations are very surface level. Saying that my parents are ENFJ + ISTJ and they have the best marriage I've ever known by becoming duals. 
Myself and a fellow ENFJ friend have recently become extremely close and slept together on a few occassions, we decided one day to start dating each other back in January but the next day he got cold feet as he himself had just come out of never ending relationships for the last 5 years and wanted some time alone and didn't want to ruin our friendship which is understandable. Myself and this ENFJ do get along so very well, we truly understand eachother, have same core values, humour, an exciting mix of spontanousness and dutifiulness that is hard to come by. 

Maybe I am still feeling the aftershock from the rollercoaster of my ex and the possibility of me and my ENFJ friend getting together which would be a match made in heaven, just the timing is wrong. I just feel so down and it's on my mind 24/7 for 4 months now, I just can't get any joy out of my hobbies or interests at the moment and I lose concentration at work so badly which I didn't before. I can't really date because I live in such an isolated area it's so hard to meet anyone.
I feel selfish for how horrible I feel about myself, many people are in way worse positions than me in their life (my neighbour is about to become homeless for example!) and they just get on with it and here I am getting depressed I don't have a partner ?? but really I just want to be on that path of building something with someone and I feel so stagnant without working on that as I have every other part of my life complete. Currently on the outside no one would know that I'm anything but a confident, warm and adventurous person who is living their best life but inside I feel so lost and empty and without purpose.  

Any other ENFJ perspectives on the situation would be so helpful - thank you all!!???¥°",https://www.personalitycafe.com//threads/how-do-i-stop-my-enfj-self-from-feeling-so-down-when-my-life-is-in-a-good-place.1365808/,,,,,,,,,,,
Dr.A,ENFJ needing help - advice - co-planning,"Doing something extraordinary for an ENFJ - asking help lol

I think its essential I do it - as all other options have failed.. went to a psychologist, she had a panic attack hearing my situation.. worked myself out to some extent... in a phase of some radiance of clarity and regrouping my strengths to fight back.. Lets ur co-type - excel out of extraordinary circumstances",https://www.personalitycafe.com//threads/enfj-needing-help-advice-co-planning.1364889/,,,,,,,,,,,
krillmachine,"Breakdown, Trauma, Letting Go....","Hi,

Earlier this year I had somewhat of a breakdown, it was like a perfect combination of things all piled up and the house of cards came crashing down...the past, present and future all completely overwhelming me....when I feel like this I seem to get really stuck on everything that has ever hurt or upset me and I can be extremely cruel to myself, almost torturing myself...the way in which I can treat myself at times is not at all the way in which I would treat others...this is something I am really trying to work on; to be kind to myself.

One thing that has come up following this breakdown and trying to improve myself is the amount of trauma in my past and to some extent I had hidden a lot of my past from myself...not allowing myself to really experience feeling hurt and instead pushing everything deep down or creating a pleasant world inside my head to shield myself from reality (writing this makes me feel insane).

Is trauma, having trouble accepting/letting go of things and experiencing emotional problems intrinsic to ENFJ types?

I'm finding all of this really difficult and almost paralyzed by my emotions.

Thanks.",https://www.personalitycafe.com//threads/breakdown-trauma-letting-go.687954/,,,,,,,,,,,
Scootaloo,What Does the Average ENFJ Look Like?,"Hi there! I'm an artist wondering about stereotypes. I'm going to draw the ""average"" person of each type just to see if the stereotypes have some base in reality. 


So, what do you look like? Are YOU the Average ENFJ?


Please fill out the form below in whatever amount of detail you wish. You can also use N/A. Thank you so much for your time! 


Gender:
Hair Color:
Hair Style:
Eye Shape:
Eye Color:
Glasses: Y/N
Personal Style/Manner of Dress:
Favorite Color:
Makeup?:
Nail Polish?:
Shoes:
Usual pose:
Nose shape:
Lip shape:
Hand/Foot size:
General Build:",https://www.personalitycafe.com//threads/what-does-the-average-enfj-look-like.213810/,,,,,,,,,,,
rockdancer,ENFJs = The Liars?,"Hi, I'm and ENFP and I had just broke up with my boyfriend (he's and ENFJ). the two guys I have really loved in my whole life are both ENFJs... they act at a point to even lie cowardly to you just to 'protect who I love'. but I'm starting to think if they are protecting who they love or just protecting themselves from feeling ashamed from themselves and from the hurt of telling the truth

the lie: he said he was breaking up because of family issues but two days later he was dating with his ex. but when we broke up, he was full of love (he DID TELL ME he loved me and KISSED ME after), so why did he do that?

And I know that ENFJs aren't all like my two boyfriends (my mom is an ENFJ, she's gangsta lol), but I know it's a part of your personality type protect too much...

thoughts?",https://www.personalitycafe.com//threads/enfjs-the-liars.94673/,,,,,,,,,,,
Wendy,Self-esteem issues and close friendships (the ENFJ),"Hello fellow ENFJs 

I've been taking a closer look at my inner-self and I'm realizing that a ton of my issues stem from low self-esteem. If I think about it there is no reason for me to not be confident in myself but its my natural tendency. Example: if a friend makes a skeptical face after I say something it affects me WAY more than it should. I'm wondering if it is common for ENFJs to suffer from low self-esteem, how other ENFJs have dealt with it, and if it has gotten better with age. 

Another quirk about me: I don't form extremely close relationships often. Over the course of my life I have had one ""best"" friend. (Best friend meaning someone I show my whole self to, someone I am completely comfortable with.) I think this might relate to me not being confident enough in myself to let people in. This is not to say I don't have any friends. I have tons of friends, and really good ones that trust me a lot; I just don't give my whole self to them. My second question: is this normal for ENFJs?

Thanks! Any comments about this or other ENFJ quirks are welcome!",https://www.personalitycafe.com//threads/self-esteem-issues-and-close-friendships-the-enfj.101949/,,,,,,,,,,,
takkenne,ENFJ Coping with Vulnerability,"I was talking to another ENFJ, and I was shocked to see how we both handle emotional pain and vulnerability. Both of us are very willing to talk about emotional pain and about times when we were weak or felt weak, but only after it happens and we feel fine again. In the moment, however, we both feel the need to hide our emotions, even from that small circle of people we love and trust.

For instance: I just got dumped by a guy. It really hurt. I have a lot of close friends I tell everything, but because I felt so ashamed (that I was dumped, that I missed him, that I was hurting and he wasn't, that I didn't see it coming), I didn't tell anyone pretty much anything and isolated myself until I felt better again. In general, I think I have a deep fear of being vulnerable (which affected the relationship with the guy in question). I won't ask for help when I really need it because I'm scared the fact that I need something from someone else will reveal something about me. Reveal what? I don't know.

I'm sure this goes far beyond MBTI and applies to all types to a certain extent, but I was also wondering if the nature of Fe might play into it a little. We're so used to masking our emotions and playing a role that it can be scary to be our genuine selves, even with people we love and trust the most. I know an INFP like this as well, except she never opens up haha. I at least talk about it once the emotions have passed.

Thoughts?",https://www.personalitycafe.com//threads/enfj-coping-with-vulnerability.1139505/,,,,,,,,,,,
Ben Vaserlan,How Fe Nx (ENFJ) uses all 8 Jungian Functions.,,https://www.personalitycafe.com//threads/how-fe-nx-enfj-uses-all-8-jungian-functions.1363901/,,,,,,,,,,,
Serpents et echelles,Am I the exception to the the INFP-ENFJ attraction rule?,"I've had what I consider to be a weird interaction with an enfj and I'm looking for some insight or advice. I am an infp and from what I have been reading enfjs and infps are at best natural partners and soulmates and if nothing else generally get on very well and make for a great friendship.

I met this enfj socially and I felt a pull to him immediately, but couldn't figure out why and brushed it off as nothing. Eventually, we ended up having a one-on-one conversation and I can't describe the overwhelming spark that I felt in a pretty banal conversation. I had never and still to this day have never felt that with anyone in my life and I was overwhelmed and shocked by it. It was so strong that I actually had to look away and break the conversation because I felt that he could feel my energy or read how I felt (as ridiculous as that sounds), it was that powerful, for me anyway. 

Although I never went out of my way to talk to him or interact with him because he was in a relationship and I knew my feelings, we were part of an activity for several weeks it meant that we did have to come in contact. Even when we were not speaking to each other, but I ended up standing next to him or he sat next to me I felt this magnetic pull to him like I never experienced before in life. 

Anyway, I soon noticed that his interactions with me did not mirror his interactions with other people. When talking to everyone else he was his typical friendly, outgoing, charming enfj self and he would make it a point to be incredibly friendly with everyone and ask them questions about themselves and really get to know people, but when it came to me he was silent and awkward and never wanted to really engage in conversation with me. 

Even in a group setting if I would try to talk to him he seemed to be putting up some sort of barrier and when he would talk to me he wasn't as friendly or outgoing as he was with other people. Sometimes he even seemed cold or detached. The few times we would exchange messages I would be my normal infp funny self and he would barely respond and not really give anything. However, he would text up a storm with everyone else and became friends with them.

I guess my question is why? If infps and enfjs are supposed to be either this great love match or great friendship why was he at every imaginable turn blocking any kind of interaction we had or could have had? No, I was not expecting for us to fall in love and run away together as he had a girlfriend, but it is odd that we couldn't even be friends. 

When we would message and I would ask him questions about himself he would not give any insight about his life. At times he felt like he wanted to keep me at arm's length or did not like me at all. Is there something that I as an infp might have done to upset him that I didn't realize or is this just one of those situations where this particular enfj did not care for this particular infp? 

I remember this one time we were sitting next to each other and he got up to go do something and when he was finished instead of returning to his seat next to me he went and sat all the way on the other side of the room. It was things like that he would do that would leave me so confused. 

In group situations where I would watch him work the room and talk to everyone and get to know everyone it felt like he intentionally did not in any way want to engage me at all. Is that something enfjs do when someone has upset them? Do they go out of their way to exclude them? I guess I'm just trying to figure out what happened.",https://www.personalitycafe.com//threads/am-i-the-exception-to-the-the-infp-enfj-attraction-rule.1329459/,,,,,,,,,,,
HGy,What is the dumbest thing you've ever heard someone say?,What is the dumbest thing you've ever heard someone say?,https://www.personalitycafe.com//threads/what-is-the-dumbest-thing-youve-ever-heard-someone-say.1363815/,,,,,,,,,,,
BlueG,Mommy Issues,"I need some help with my mother (again). 

Background: She is an unhealthy ENFJ. She has to be in control. 
Tips on how to deal with these behaviors would be much appreciated. 



She will walk around the house and look for things to yell at me about. 

After she tells me I am doing something wrong, she stands there and waits for me to say something nasty to her so she can have an argument with me. 

Sometimes she bothers me an entire day until she can spark an argument. 

I have curly hair and she likes to tell me that it looks ""homely"" or ""bad"". She says she likes curly hair but she has never approved of my hair unless it shows no signs of being curly. My sister and I had friends over, and my mother in front of everyone gave me shampoo, conditioner, detangler, leave in conditioner, and styling creme that was designed to make hair go from curly to straight. 

She is basically a hoarder with sewing supplies - fabric, sewing instruments, etc. She comes out of her sewing room and yells at me and tells me that ""this house needs to be cleaned!"" She is yelling at me about her mess. :dry:

She tells my family all the time that we need to watch the spending. I was given a long lecture about me getting yogurt at the grocery store. She had no problem dropping 100 in movies the next weekend.",https://www.personalitycafe.com//threads/mommy-issues.95736/,,,,,,,,,,,
Maddko,In a world where people don't really understand me I can finally express myself!,,https://www.personalitycafe.com//threads/in-a-world-where-people-dont-really-understand-me-i-can-finally-express-myself.1363602/,,,,,,,,,,,
scaracoos,ENFJ or INTJ?,"I've heard they can be quite similar due to how both preferring solidarity but... I want, or need to know the exact difference because of how I'm confused whether I'm enfj or intj. 

there are a lot of things that made people think of me as intj when i'm on a sentimental or aggressive mood, but when i'm feeling better, I immediately switches back to enfj.

does this mean i'm just an unhealthy enfj or..?",https://www.personalitycafe.com//threads/enfj-or-intj.1363516/,,,,,,,,,,,
ESFJMouse,For all those  ENFJs and ESFJ out there....,Do you have goals for 2022?,https://www.personalitycafe.com//threads/for-all-those-enfjs-and-esfj-out-there.1363656/,,,,,,,,,,,
GirlNextDoor92,ENFJs how to befriend you guys?,"I?™m an INFP and I have always found ENFJs to be magnetic. You draw me in, and I can?™t help but want to know you more?”What are your hopes/dreams? What touches you? Who are you under all the social masks?

I currently volunteer with an ENFJ medical resident on a community project, although I?™ve known him for close to three years as an acquaintance. And darn it, he?™s so nice and respectful and likeable. I want to know him but I just don?™t know how. I always leave our interactions feeling like they?™re more significant to me than they are to him. I guess what I?™m asking is: is there a way to draw you in too?",https://www.personalitycafe.com//threads/enfjs-how-to-befriend-you-guys.1361871/,,,,,,,,,,,
Mudra,Feeling Of Not Belonging,"Ever felt that there you need to figure out the world and belong somewhere but can't actually able to stick to one place? 

Are you one kind of me or some other perspective fellow ENFJs 

Your turn ?",https://www.personalitycafe.com//threads/feeling-of-not-belonging.1361404/,,,,,,,,,,,
oolongmilktea,infp confused by an enfj,"hello guys! i?™m a infp confused by an enfj ?˜© enfj please send help.

so basically, i joined a new company 2 months ago and there?™s this male coworker (enfj) at work who showed signs of interest in me, such as asking my coworker whether i am single, asking for my number (but didn?™t call or text me), stealing glances at me etc. this week was his last week so i gave him some chocolates and a note for farewell and he texted me to thank me. so i replied him but he ignored my texts and double tick me?! (they weren?™t just ?œyou?™re welcome??texts but more which i believe can be replied to)

right now i?™m genuinely SO CONFUSED?? and it makes me wondering if i?™m being shameless and taking those actions (finding out if i?™m single, asking for my number and stealing glances at me) as signs of interest...

enfjs, would you do those things if you?™re not interested in someone? :??

oh and also, i could tell that he was trying to avoid me this week which was so weird bc i didn?™t think i did anything that turned him off or anything and things were perfectly fine a week ago

......genuinely a confused infp please help",https://www.personalitycafe.com//threads/infp-confused-by-an-enfj.1363266/,,,,,,,,,,,
172354,What are you listening to right now?,"This is an amazing thread in the INFJ & INFP forums (and probably others), I would love to see if take off here!! You can post videos, lyrics, song titles, your own unique material, anything musical that you want! ^_^




So please, share with us, what are you listening to?",https://www.personalitycafe.com//threads/what-are-you-listening-to-right-now.591042/,,,,,,,,,,,
kph5034,Do ENFJ males struggle with women?,"I know I do. I can never make any sense of it because I'm not bad looking or anything. I've become very obsessive about the way I look, but I don't have a negative self image. I carry myself rather highly, and dress and act accordingly usually. Regardless of this, I think my intellectually depressive attitude might turn women off. I like to talk about totally complex things and it seems that no women find that attractive. Over the years this has caused me to constantly wonder what people saw when they looked at me. I use to think that my ability to intellectually communicate would be a chick magnet but now I know better. I don't necessarily view it as a problem with me, though. In fact, I find myself attempting to ""dumb myself down"" to meet the standards of the women I'm attracted to. Furthermore, it seems that every time I give a women respect they immediately shut me out. It's like they don't want to be with me unless they constantly have to pursue my respect. As soon as I give a women any respect (which I usually believe they deserve) I'm fucked. Plus anytime I start to talk about my true beliefs or try to get into a deep convo with a woman they look at me like I'm an alien. I just don't get it, are women intimidated by intelligence, or just turned off by it, or what?

I know that was a long rant, and I know any guy at my age could go on for hours about women, but I just wanted to see if my fellow male ENFJs have similar issues or not.",https://www.personalitycafe.com//threads/do-enfj-males-struggle-with-women.10099/,,,,,,,,,,,
404NotFound,Movies and TV shows with ENFJ Characters Request,"Hi!

So I'm interested in doing a ""Myers Briggs"" themed movie marathon with my roommate who is an ENFJ. What are some good movies and tv shows with ENFJ characters (not infjs, they seem easy to mix up) we can watch. Preferably ones with main characters who are ENFJs but since this type seems pretty rare I'll take anything!

I will keep a running tally of possible suggestions based on your input.",https://www.personalitycafe.com//threads/movies-and-tv-shows-with-enfj-characters-request.1357569/,,,,,,,,,,,
drmiller100,enfj / entp   - relationship quetions,"I'm entp.    and a fairly outgoing one at that.

An ENFJ has caught my attention.

and when in doubt, I analyze.   So, I read the socionics stuff and it does not paint a very rosy picture at first.

But as I dig into it, it talks about ""beneficiary relationship"", and implies there is something I have which she needs (beyond the obvious).

But I don't understand socionics enough to understand that that magical thing is.

Comments?  Thoughts? 

Open ended question from the peanut gallery?

ENFJ's are VERY rare, so it isn't like I have tons of friends who are ENFJ's to ask.

Thanks,
d",https://www.personalitycafe.com//threads/enfj-entp-relationship-quetions.137467/,,,,,,,,,,,
Emancipation,Why EXFJs mistype,"I've arrived at the conclusion that I am an ENFJ after a long ass time, and the reason I struggled to realize this is because I was emulating other types in hopes that other people will like me more. In functional terms, my dominant Fe was compelling me to present as other types because I thought that's what people wanted me to be.

I remember certain scenarios in which people thought that my enthusiasm and empathy was inauthentic, like:
a) my high school friend telling me that it's weird how hard I laugh at all of her jokes
b) an acquaintance telling me my shocked gasp when I heard somebody she knew died was fake
c) my sister telling me that it doesn't matter that I say she's beautiful, because I always tell her that anyway.

Because of that, I learned how to be more argumentative and strongly disagree with people... sort of like a strong Fi user who prides himself on his individuality and doesn't care what others think. For example, when I don't like l how someone's outfit looks I tell them outright, not because I'm not aware of how it will hurt them, but because they will know that I'm being 100% real when I compliment them next time. 

That way, if they say my compliments are fake, I can reiterate by saying ""Nuh-uh. You know damn well I'll call you out if I think you're doing something wrong. Remember X situation?"" I became a strong-headed, brutally honest individual who doesn't need affirmation from anyone else. I learned how to be rude... so that they could take my kindness more seriously. 

I learned to tone down my Extroverted Feeling because of the negative associations that come with it (fake laughing, being overly friendly, looking weak by changing myself for other people)... which was an Extroverted Feeling motivation in and of itself.

There are many, many other examples of me imitating characteristics of other types, but I don't want to write 5 more paragraphs. I'm so sorry if this is confusing.

Can other EXFJs relate?",https://www.personalitycafe.com//threads/why-exfjs-mistype.1301285/,,,,,,,,,,,
Nobleheart,Famous ENFJ Fictional Characters,"Here's a thread to post examples of fictional characters that you feel have been written to closely resemble the ENFJ archetype. 

I'll start with the most famous ENFJ of all.",https://www.personalitycafe.com//threads/famous-enfj-fictional-characters.36514/,,,,,,,,,,,
ihavenopersonality,Examples of ENFJ character's,"Please add if you know any examples. I'll start with not quite ENFJ's.

When I was a kid, I loved the the 90's X-Men cartoon and it had a great example of an ENFJ Charles Xavier. Now, most see him as an INFJ which is probably true because he definitely doesn't give off that high energy of ENFJ's but the only problem is, no INFJ would actually take that kind of relentless initiative for their cause unless they've been put into the position already without any personal effort needing to be carried out. They just do it in their heads and if it comes up naturally and it doesn't take too much extraneous effort, they'll fight for what they believe in. ENFJ's on the other hand force what they know is good upon others and this is a good thing cos its force through kindness and empathy.

But then I guess you can say ""what about Martin Luther King or Hitler"" I make it sound like INFJ's are lazy but its not the case, they just have a different mode of being. But to really critique an INFJ properly, you just have to mirror them to INFP's. INFP's despite being introverted have unlimited will and energy and summoning knowingness from other dimensions and WANTING to integrate and manifest those things in actuality. The stereotype that INFP's are lazy comes from the very real phenomena of INFP's being overwhelmed by a flawed Te set up of society that makes them feel impossible for them to achieve and actualise or even be able to survive the world they are in. Then overthinking comes through the Se in the world which stimulates their Se and just constantly thinking about Se to the point it becomes debilitating. INFJ's choose to be lazy. Se is an immediate function, so to affect it takes no effort yet INFJ's still don't bother trying while Te takes generations to change in society because Te is codified law and mode of being in society.

Picard from ST next gen is also seen as an INTJ but I see his character as an amalgamation of INTJ and ENFJ. When he's being unhealthy and unlikeable, he's written as an INTJ, but in flow, the Te starts to sound like Fe. In the new show, he is fully an xNFJ. But its a terrible show.",https://www.personalitycafe.com//threads/examples-of-enfj-characters.1349672/,,,,,,,,,,,
